name,geoid,state_name,county_name,land_area (sqmtrs),population,population_density_sq_mi,median_household_income,hhs_total,hhi_lt_25k,hhi_25k_to_49k,hhi_50k_to_749k,hhi_75k_to_999k,hhi_100k_to_1490k,hhi_150k_to_1999k,hhi_200k_or_more,race_and_ethnicity_total,race_and_ethnicity_white,race_and_ethnicity_black,race_and_ethnicity_native,race_and_ethnicity_asian,race_and_ethnicity_islander,race_and_ethnicity_other,race_and_ethnicity_two,race_and_ethnicity_hispanic,age_total,age_female_0_to_9,age_female_10_to_19,age_female_20_to_29,age_female_30_to_39,age_female_40_to_49,age_female_50_to_59,age_female_60_to_69,age_female_70_plus,age_male_0_to_9,age_male_10_to_19,age_male_20_to_29,age_male_30_to_39,age_male_40_to_49,age_male_50_to_59,age_male_60_to_69,age_male_70_plus,median_age,educational_attainment_population_25_years_and_over,educational_attainment_no_diploma,educational_attainment_high_school,educational_attainment_some_college,educational_attainment_bachelors,DUMMYBachelors,educational_attainment_graduate,family_households_total,family_poverty_pct,employment_status_civilian_labor_force,unemployment_pct,housing_units,median_value_of_owner_occupied_units,households,
Minkler CDP,16000US0647822,California,Fresno,15094934,958,164.4,-1,483,95,136,26,19,117,78,12,958,921,0,0,0,0,0,16,21,958,34,68,32,22,36,148,66,126,51,0,69,33,19,158,48,48,53.2,720,0.026,0.344,0.374,0.196,0,0.06,265,0.049,476,0,495,344900,483,
Mira Monte CDP,16000US0648046,California,Ventura,11836565,6633,1451.4,77429,2659,391,603,284,318,532,257,274,6633,4718,2,91,93,0,0,258,1471,6633,135,258,542,186,373,606,638,599,162,323,479,316,370,698,452,496,51.3,5360,0.075,0.165,0.412,0.204,0,0.144,1641,0.067,3748,0.057,2993,589200,2659,
Miranda CDP,16000US0648060,California,Humboldt,3868285,605,405.1,-1,260,95,29,57,26,31,22,0,605,387,77,0,0,0,0,0,141,605,0,0,67,35,26,31,0,0,61,70,58,92,22,48,34,61,36.2,431,0.158,0.274,0.455,0.114,0,0,79,0,308,0,327,-1,260,
Mission Canyon CDP,16000US0648147,California,Santa Barbara,3907629,2508,1662.3,135972,1027,86,142,130,24,198,151,296,2508,2159,9,0,89,0,0,82,169,2508,56,109,170,130,114,276,303,203,100,48,97,177,51,160,277,237,54.1,2010,0.015,0.089,0.207,0.348,1,0.341,728,0.025,1400,0.021,1148,1165900,1027,
Mission Hills CDP,16000US0648186,California,Santa Barbara,3130522,3842,3178.6,86296,1302,73,129,358,178,269,143,152,3842,2143,133,39,174,0,0,86,1267,3842,122,266,220,128,285,313,295,233,191,346,217,114,311,294,321,186,45.6,2652,0.143,0.183,0.397,0.141,0,0.136,1081,0.039,2084,0.088,1302,376400,1302,
Mission Viejo city,16000US0648256,California,Orange,45845488,95516,5396.1,118477,33567,2665,3453,3639,4152,7302,5513,6843,95516,62146,1034,126,11167,141,161,3811,16930,95516,4450,5141,4448,5145,6792,7728,6725,7626,4911,6036,5753,5418,5956,7732,6113,5542,45.5,69968,0.058,0.135,0.317,0.32,1,0.17,25797,0.033,51946,0.041,35127,693000,33567,
Modesto city,16000US0648354,California,Stanislaus,111308811,212616,4947.3,59287,72332,13186,17238,13593,9238,11727,4289,3061,212616,93871,8744,1093,14623,2202,183,6363,85537,212616,14704,13298,15293,13784,12379,14249,12058,11750,15359,15813,15760,13805,12522,13273,10441,8128,35.6,139011,0.174,0.285,0.354,0.129,0,0.058,50659,0.111,98285,0.089,75221,283800,72332,
Mohawk Vista CDP,16000US0648448,California,Plumas,30997962,54,4.5,-1,32,0,0,9,0,13,0,10,54,43,0,0,0,0,0,0,11,54,0,0,0,0,0,0,9,11,0,0,0,13,0,0,11,10,64.5,54,0,0.574,0.241,0.185,0,0,19,0,45,0,85,-1,32,
Mojave CDP,16000US0648452,California,Kern,150982793,3855,66.1,27333,1536,754,254,219,68,191,42,8,3855,1147,855,113,16,79,42,48,1555,3855,315,176,329,287,204,326,178,168,298,146,278,255,215,192,271,217,37.2,2600,0.243,0.35,0.313,0.073,0,0.02,949,0.296,1596,0.183,1930,105800,1536,
Mokelumne Hill CDP,16000US0648480,California,Calaveras,7974096,691,224.4,44939,248,63,82,43,34,26,0,0,691,399,0,0,0,0,0,0,292,691,161,9,47,0,48,46,39,113,0,0,12,57,33,41,20,65,48.3,511,0.08,0.119,0.575,0.127,0,0.098,148,0.25,228,0.162,294,243300,248,
Monmouth CDP,16000US0648592,California,Fresno,797858,111,360.3,32969,35,12,23,0,0,0,0,0,111,9,0,0,6,0,0,0,96,111,8,6,2,6,7,11,2,18,14,7,0,0,14,10,2,4,46.5,74,0.446,0.284,0.27,0,0,0,24,0.125,33,0.242,44,124100,35,
Mono City CDP,16000US0648602,California,Mono,14047717,96,17.7,-1,54,0,0,0,21,33,0,0,96,75,0,0,0,0,0,0,21,96,0,0,0,0,33,0,0,0,0,42,0,0,0,21,0,0,43.2,54,0,0.389,0,0,0,0.611,33,0,54,0,66,-1,54,
Mono Vista CDP,16000US0648641,California,Tuolumne,7344700,3446,1215.2,80651,1397,148,153,379,225,362,83,47,3446,2800,0,0,13,0,15,178,440,3446,149,123,242,253,193,207,416,213,191,154,188,269,227,168,371,82,43.9,2715,0.078,0.28,0.443,0.159,0,0.04,850,0.035,1715,0.01,1558,254500,1397,
Monrovia city,16000US0648648,California,Los Angeles,35312173,36816,2700.3,77111,12928,1865,2493,1916,1839,2474,986,1355,36816,12692,1947,0,5413,426,18,1177,15143,36816,1854,1928,2558,2431,3231,2842,2261,1881,2176,2370,2161,2702,2752,2465,1763,1441,40.4,26233,0.103,0.202,0.322,0.23,0,0.144,8763,0.059,20500,0.059,13761,663400,12928,
Monson CDP,16000US0648676,California,Tulare,1295506,283,565.8,52880,47,0,10,37,0,0,0,0,283,33,21,0,0,0,0,31,198,283,65,26,12,16,18,0,0,17,11,31,29,26,0,11,0,21,26,142,0.387,0.134,0.331,0.148,0,0,47,0.255,115,0.313,58,195000,47,
Montague city,16000US0648690,California,Siskiyou,4604512,1469,826.3,46927,587,132,198,112,87,38,16,4,1469,1172,0,48,10,5,0,70,164,1469,62,97,102,97,68,149,103,67,57,78,143,98,60,110,87,91,40,1045,0.096,0.275,0.527,0.102,0,0,419,0.038,674,0.059,695,133300,587,
Montalvin Manor CDP,16000US0648718,California,Contra Costa,832519,2852,8872.6,64389,816,115,180,239,186,35,28,33,2852,256,292,32,290,0,0,37,1945,2852,103,138,289,264,170,170,80,266,300,182,148,119,310,95,29,189,36.6,1887,0.272,0.236,0.346,0.117,0,0.029,607,0.125,1224,0.034,916,346600,816,
Montara CDP,16000US0648760,California,San Mateo,10044666,2504,645.6,93167,1028,52,215,116,181,128,104,232,2504,2156,0,0,38,0,61,147,102,2504,184,0,142,80,55,250,236,404,0,100,136,0,178,149,230,360,58.9,1942,0,0.24,0.226,0.368,1,0.166,740,0,1267,0.016,1130,1012400,1028,
Montclair city,16000US0648788,California,San Bernardino,14284658,39155,7099.3,62024,10331,1573,2430,2239,1541,1753,547,248,39155,4984,1187,179,4087,100,70,719,27829,39155,2708,2893,3448,2890,2476,2173,1888,1498,2312,3140,3636,2816,2350,2242,1705,980,32.5,24455,0.27,0.256,0.311,0.117,0,0.046,8291,0.119,19677,0.075,10557,354500,10331,
Monte Rio CDP,16000US0648928,California,Sonoma,4930357,977,513.2,43603,489,156,121,20,78,43,14,57,977,860,0,0,18,0,0,37,62,977,48,19,44,53,37,70,108,17,27,61,46,86,59,87,143,72,51.3,788,0.094,0.288,0.372,0.151,0,0.095,202,0.114,597,0.161,923,462400,489,
Monte Sereno city,16000US0648956,California,Santa Clara,4247436,3479,2121.4,250001,1128,33,105,29,35,62,88,776,3479,2457,64,0,647,0,0,64,247,3479,205,322,75,76,276,341,270,257,200,276,85,112,181,341,165,297,48.7,2365,0.009,0.026,0.174,0.395,1,0.396,1015,0.021,1496,0.037,1245,2000001,1128,
Montebello city,16000US0648816,California,Los Angeles,21579681,62742,7530.3,56150,18888,3966,4492,3365,2317,2830,1150,768,62742,4396,598,139,8428,7,63,562,48549,62742,4007,3840,4820,4213,4021,4046,3381,3962,3518,4563,4814,4787,3692,3437,2823,2818,36.1,42502,0.264,0.268,0.271,0.144,0,0.054,14686,0.114,31812,0.07,19919,492300,18888,
Montecito CDP,16000US0648844,California,Santa Barbara,24208339,8245,882.1,159706,3102,380,167,213,193,544,281,1324,8245,6985,59,0,380,0,55,93,673,8245,435,946,364,215,394,706,452,1180,237,678,295,181,253,502,446,961,50.8,5395,0.023,0.059,0.199,0.349,1,0.371,1951,0.053,3153,0.088,4252,2000001,3102,
Monterey Park Tract CDP,16000US0648916,California,Stanislaus,122388,272,5756.1,-1,59,36,3,0,12,8,0,0,272,29,0,8,0,0,0,0,235,272,9,35,0,4,31,8,0,0,44,82,0,0,39,0,20,0,19.2,102,0.735,0.069,0.078,0,0,0.118,47,0.766,60,0.067,59,-1,59,
Monterey Park city,16000US0648914,California,Los Angeles,19873452,60439,7876.7,61819,19955,4105,4180,3335,2076,3145,1299,1815,60439,2340,222,277,39451,281,18,596,17254,60439,2427,2762,3796,3821,4187,4664,4681,5060,3079,3100,3572,4030,3548,3982,3594,4136,44.1,45958,0.207,0.237,0.239,0.223,0,0.095,15129,0.101,29175,0.052,21318,616000,19955,
Monterey city,16000US0648872,California,Monterey,22371728,28352,3282.3,80694,11872,1566,2108,1887,1520,2282,1041,1468,28352,18913,1104,68,2180,47,68,1365,4607,28352,1301,1222,2511,1835,1457,1775,1932,2165,1425,1335,2868,2318,1360,2024,1427,1397,37.8,20566,0.074,0.107,0.29,0.295,1,0.233,5712,0.046,13797,0.03,13510,782500,11872,
Montgomery Creek CDP,16000US0648998,California,Shasta,8424206,145,44.6,32833,68,9,40,6,0,1,0,12,145,129,0,4,0,0,0,0,12,145,0,0,5,12,16,13,2,30,0,21,6,2,0,4,0,34,57.5,124,0.121,0.194,0.419,0.089,0,0.177,18,0.111,62,0.387,94,320000,68,
Monument Hills CDP,16000US0649045,California,Yolo,10432756,1466,363.9,118929,486,0,15,96,104,66,18,187,1466,948,0,0,0,0,0,0,518,1466,127,68,92,122,99,113,60,98,125,63,67,74,120,116,62,60,38.9,944,0.118,0.104,0.271,0.183,0,0.324,426,0,766,0.07,610,692500,486,
Moorpark city,16000US0649138,California,Ventura,32581168,36372,2891.3,107820,11590,749,1279,1502,1592,2493,1467,2508,36372,19902,555,89,3079,217,70,1418,11042,36372,2262,2652,2379,2262,2328,3134,2303,1488,2081,2449,2506,1917,2066,2959,2099,1487,39,24801,0.091,0.133,0.329,0.287,1,0.16,9247,0.027,19911,0.043,12114,632900,11590,
Morada CDP,16000US0649180,California,San Joaquin,7721138,3166,1062,154891,1100,97,168,34,113,43,211,434,3166,2677,31,0,61,37,25,83,252,3166,186,226,166,170,104,313,323,227,71,261,29,113,83,312,473,109,52.1,2286,0.077,0.139,0.323,0.196,0,0.266,973,0.029,1435,0,1234,655300,1100,
Moraga town,16000US0649187,California,Contra Costa,24513533,17539,1853.1,140378,5867,441,460,631,560,953,668,2154,17539,12260,103,14,2783,176,41,810,1352,17539,752,2122,937,639,1350,931,1069,1489,633,1460,1132,604,1130,1058,964,1269,43.2,10979,0.007,0.068,0.188,0.386,1,0.35,4354,0.017,7958,0.04,6015,1140700,5867,
Moreno Valley city,16000US0649270,California,Riverside,132755441,207289,4044.1,66134,50886,7273,10553,10941,8363,8975,3011,1770,207289,32596,35395,299,12338,576,505,3825,121755,207289,15071,17623,17770,14893,14074,12845,8961,5838,15645,16266,17966,15415,12395,10654,7634,4239,30.9,123871,0.236,0.289,0.312,0.108,0,0.055,42716,0.12,99267,0.084,54041,312000,50886,
Morgan Hill city,16000US0649278,California,Santa Clara,33660155,44686,3438.4,124419,14854,1031,1783,1561,1781,2772,1841,4085,44686,21880,777,13,6097,33,93,1816,13977,44686,2983,3515,2243,2799,3208,3564,2389,2301,2905,3099,2463,2735,3048,3213,2373,1848,39.3,29879,0.078,0.166,0.317,0.287,1,0.152,11717,0.031,23178,0.04,15233,855100,14854,
Morongo Valley CDP,16000US0649348,California,San Bernardino,65316996,3090,122.5,53386,1451,384,266,370,211,109,40,71,3090,2521,11,17,19,0,0,85,437,3090,189,120,91,150,210,311,305,163,145,126,125,223,162,263,292,215,50.1,2462,0.088,0.259,0.416,0.134,0,0.104,646,0.037,1518,0.052,2006,165900,1451,
Morro Bay city,16000US0649362,California,San Luis Obispo,13789901,10578,1986.7,68262,4899,878,1013,770,810,851,338,239,10578,8482,135,123,356,0,0,300,1182,10578,345,527,569,409,593,696,970,1344,341,615,673,506,607,583,880,920,50.8,8113,0.07,0.186,0.335,0.223,0,0.185,2634,0.087,4837,0.074,6386,607300,4899,
Moskowite Corner CDP,16000US0649432,California,Napa,7280566,121,43,61875,56,13,9,14,15,0,0,5,121,121,0,0,0,0,0,0,0,121,14,0,0,0,15,11,6,17,0,14,0,0,14,5,25,0,54.6,93,0.194,0.333,0.419,0.054,0,0,37,0,50,0.3,69,-1,56,
Moss Beach CDP,16000US0649446,California,San Mateo,5811038,3604,1606.3,108860,1244,127,19,191,216,156,212,323,3604,2220,17,37,102,0,0,287,941,3604,181,257,125,313,132,313,317,97,321,321,42,81,357,268,336,143,42.9,2480,0.067,0.18,0.205,0.375,1,0.173,960,0.054,1766,0.004,1284,944900,1244,
Moss Landing CDP,16000US0649488,California,Monterey,1029920,54,135.8,90147,32,0,6,9,17,0,0,0,54,37,0,0,0,0,0,0,17,54,0,0,0,0,17,0,0,15,0,0,0,0,0,22,0,0,52.7,54,0,0.63,0.259,0,0,0.111,17,0,39,0,46,576100,32,
Mount Hebron CDP,16000US0649768,California,Siskiyou,1847451,72,100.9,-1,30,0,15,15,0,0,0,0,72,15,0,0,0,0,0,0,57,72,13,0,0,0,16,0,0,0,0,13,0,0,15,0,0,15,42.6,46,0.326,0.348,0.326,0,0,0,15,0,31,0,38,-1,30,
Mount Hermon CDP,16000US0649796,California,Santa Cruz,1683558,1259,1936.8,90208,354,45,23,64,56,98,37,31,1259,850,0,0,0,0,0,47,362,1259,105,20,90,122,87,59,34,60,176,120,60,62,78,103,34,49,33.7,770,0.09,0.103,0.208,0.37,1,0.23,276,0.04,689,0.136,430,676200,354,
Mount Laguna CDP,16000US0649810,California,San Diego,4395262,117,68.9,-1,24,0,0,0,24,0,0,0,117,117,0,0,0,0,0,0,0,117,0,0,30,0,0,0,24,0,0,0,39,0,0,0,24,0,27.7,87,0,0,0,1,1,0,24,0,24,0,172,-1,24,
Mount Shasta city,16000US0649852,California,Siskiyou,9754373,3275,869.6,35547,1823,654,470,257,227,159,0,56,3275,2825,50,0,0,0,0,34,366,3275,139,0,161,184,142,342,428,298,280,27,216,144,21,162,376,355,57.5,2617,0.076,0.114,0.47,0.191,0,0.147,882,0.22,1502,0.03,2144,246300,1823,
Mountain Center CDP,16000US0649544,California,Riverside,4880669,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,35,-1,0,
Mountain Gate CDP,16000US0649558,California,Shasta,5115620,952,482,30060,400,139,149,25,0,60,11,16,952,927,0,0,7,0,0,0,18,952,14,38,88,21,70,64,71,74,102,53,18,77,38,72,90,62,47.1,676,0.075,0.41,0.404,0.098,0,0.013,243,0.181,310,0.187,430,119800,400,
Mountain House CDP,16000US0649582,California,San Joaquin,8269148,17966,5627.1,140801,4732,174,170,375,439,1402,1082,1090,17966,4489,1729,0,7602,96,0,1396,2654,17966,1989,1731,793,1630,1676,582,687,317,1909,1569,529,1293,1587,847,636,191,33.1,9875,0.059,0.124,0.344,0.274,1,0.199,4267,0.043,7849,0.053,4846,595700,4732,
Mountain Mesa CDP,16000US0649600,California,Kern,2246361,1396,1609.5,38175,440,28,277,15,34,86,0,0,1396,1258,5,27,4,0,0,0,102,1396,86,77,96,52,2,102,131,157,266,25,97,53,0,0,44,208,34.8,936,0.179,0.238,0.388,0.154,0,0.041,334,0.15,184,0.136,440,177200,440,
Mountain Ranch CDP,16000US0649628,California,Calaveras,106677227,1141,27.7,50350,557,66,209,156,59,38,29,0,1141,917,0,35,0,0,0,13,176,1141,26,0,36,0,14,162,160,116,0,46,30,6,73,116,223,133,60.7,1033,0.015,0.359,0.392,0.21,0,0.023,312,0.026,429,0.112,871,286200,557,
Mountain View Acres CDP,16000US0649684,California,San Bernardino,4114534,4447,2799.3,44836,1124,269,297,244,126,130,15,43,4447,1050,357,2,81,0,0,62,2895,4447,326,413,287,254,233,244,180,180,379,612,163,242,222,312,211,189,30.6,2577,0.292,0.294,0.293,0.084,0,0.037,803,0.23,1497,0.126,1189,224000,1124,
Mountain View CDP,16000US0649651,California,Contra Costa,743940,1970,6858.5,72222,770,58,95,234,98,87,143,55,1970,1176,95,0,46,0,0,87,566,1970,228,49,78,300,18,244,10,75,98,181,82,311,88,160,31,17,33,1350,0.066,0.159,0.521,0.224,0,0.03,475,0.04,1265,0.081,787,421500,770,
Mountain View city,16000US0649670,California,Santa Clara,31055404,81656,6810,139720,33756,3226,3276,2926,2711,5840,4758,11019,81656,35877,1155,135,25896,224,318,3096,14955,81656,4680,3268,6464,7522,5690,4230,3285,3765,5403,3879,7953,9384,5607,4732,3217,2577,34.8,59633,0.071,0.091,0.143,0.294,1,0.401,19102,0.032,49302,0.033,36298,1413500,33756,
Muir Beach CDP,16000US0649950,California,Marin,1276408,336,681.8,156250,162,22,0,0,0,49,64,27,336,296,0,0,4,0,0,11,25,336,7,0,0,12,32,26,34,23,65,0,0,10,38,40,21,28,53.3,264,0,0.038,0.242,0.405,1,0.314,93,0,175,0.057,205,1450000,162,
Murphys CDP,16000US0650034,California,Calaveras,26732332,2188,212,48246,988,194,347,148,112,85,31,71,2188,1969,0,17,0,0,0,100,102,2188,0,31,90,97,55,120,261,511,90,85,46,48,135,149,177,293,62.1,1884,0.079,0.241,0.434,0.167,0,0.079,551,0.044,819,0.028,1325,302300,988,
Murrieta city,16000US0650076,California,Riverside,87055430,112941,3360.1,90535,32175,3171,4826,5125,4831,7019,3831,3372,112941,54283,6175,430,10024,517,513,5655,35344,112941,8346,10213,7532,7501,8165,7052,4543,5623,7753,9240,7956,6096,7541,7181,4145,4054,34.2,69942,0.084,0.237,0.377,0.205,0,0.098,25635,0.06,53330,0.076,34117,414100,32175,
Muscoy CDP,16000US0650132,California,San Bernardino,7818877,12562,4161.1,46969,2711,745,694,552,260,298,145,17,12562,748,316,0,212,4,0,114,11168,12562,1074,897,1115,662,642,629,597,216,1427,997,995,1095,681,784,607,144,28.8,7053,0.441,0.317,0.179,0.051,0,0.011,2337,0.241,5014,0.173,2800,251400,2711,
Myers Flat CDP,16000US0650146,California,Humboldt,1119279,132,305.4,-1,35,0,35,0,0,0,0,0,132,132,0,0,0,0,0,0,0,132,0,0,0,0,0,0,82,0,0,0,0,0,0,0,50,0,63.5,132,0.356,0.379,0.265,0,0,0,35,0,35,0,93,-1,35,
Myrtletown CDP,16000US0650188,California,Humboldt,5436583,5222,2487.8,59330,2146,506,308,551,285,358,66,72,5222,4166,2,134,115,0,0,199,606,5222,120,178,544,364,487,366,286,421,170,397,530,78,396,288,240,357,44.1,4016,0.098,0.207,0.469,0.143,0,0.083,1157,0.105,2935,0.07,2450,278700,2146,
Napa city,16000US0650258,California,Napa,46506621,79074,4403.7,84043,28189,3164,4737,4450,4117,5418,3130,3173,79074,41628,466,157,2477,105,345,1861,32035,79074,4242,5056,5021,5543,5086,5213,4802,5086,4930,5453,4876,5722,5146,4916,4373,3609,38.8,54723,0.158,0.183,0.317,0.228,0,0.115,18651,0.054,43473,0.044,30417,616700,28189,
National City city,16000US0650398,California,San Diego,18887346,61121,8381.4,47119,16658,4275,4415,2918,2296,1750,470,534,61121,7066,2667,112,11180,294,13,1002,38787,61121,3445,4105,4549,4172,3520,3806,3062,3583,3122,4134,6858,4717,3431,3792,2570,2255,34.2,40038,0.251,0.282,0.326,0.107,0,0.035,12184,0.157,27015,0.066,17652,402000,16658,
Needles city,16000US0650734,California,San Bernardino,79197461,4965,162.4,33717,2034,802,477,363,122,186,57,27,4965,3306,145,406,24,0,0,137,947,4965,321,283,251,281,327,266,344,411,483,355,216,160,384,318,300,265,42.7,3392,0.15,0.41,0.315,0.075,0,0.05,1320,0.195,1675,0.098,2872,88500,2034,
Nevada City city,16000US0650874,California,Nevada,5661517,3144,1438.3,42059,1462,402,451,210,142,162,57,38,3144,2608,48,3,32,0,0,262,191,3144,167,153,141,72,82,298,352,309,0,177,171,140,360,214,286,222,52.8,2447,0.078,0.142,0.427,0.168,0,0.185,602,0.171,1439,0.035,1575,417600,1462,
New Cuyama CDP,16000US0651028,California,Santa Barbara,1827436,660,935.4,55833,224,34,74,40,35,38,3,0,660,289,6,0,0,0,0,5,360,660,98,33,65,20,21,40,34,35,79,27,61,27,31,29,39,21,27.8,379,0.174,0.322,0.364,0.061,0,0.079,140,0.057,214,0.089,234,128600,224,
New Pine Creek CDP,16000US0651168,California,Modoc,5870148,88,38.8,-1,28,18,10,0,0,0,0,0,88,59,0,0,0,0,0,0,29,88,0,13,0,0,0,7,0,7,0,16,0,0,35,0,10,0,42.2,59,0.525,0.356,0.119,0,0,0,21,0.524,18,0,86,134100,28,
Newark city,16000US0650916,California,Alameda,35936187,47171,3399.7,116856,14047,958,1289,1495,1919,3455,2317,2614,47171,11168,1818,130,15586,416,81,1580,16392,47171,2716,2804,3178,3400,3394,3318,2352,2180,2624,3013,3469,4042,3362,3124,2336,1859,37.1,33257,0.103,0.299,0.262,0.219,0,0.117,11409,0.029,26243,0.041,14562,742100,14047,
Newcastle CDP,16000US0651000,California,Placer,6194986,1208,505,75250,571,113,114,55,154,19,60,56,1208,1023,4,8,14,0,0,95,64,1208,75,102,65,101,44,73,130,153,19,82,21,59,47,40,97,100,47.7,906,0.022,0.222,0.443,0.209,0,0.105,325,0.043,489,0.041,641,327000,571,
Newell CDP,16000US0651042,California,Modoc,6233913,566,235.2,27656,132,65,41,26,0,0,0,0,566,124,0,0,0,0,0,20,422,566,56,49,10,50,48,5,8,2,37,153,8,24,67,21,24,4,19.6,253,0.775,0.134,0.091,0,0,0,109,0.385,219,0.023,269,55000,132,
Newman city,16000US0651140,California,Stanislaus,5340332,11317,5488.6,62877,3299,385,876,658,470,641,119,150,11317,3004,215,0,153,0,34,46,7865,11317,1225,978,594,967,690,582,406,614,732,834,565,1199,491,661,388,391,33.6,6924,0.228,0.321,0.34,0.094,0,0.018,2767,0.066,4961,0.135,3389,263000,3299,
Newport Beach city,16000US0651182,California,Orange,61681449,85694,3598.3,127223,37605,3997,3484,3683,3798,6268,4046,12329,85694,68495,683,75,6749,125,212,1821,7534,85694,3696,4168,5050,4828,5224,7224,5855,7816,3027,4807,5366,4919,4861,6584,5757,6512,47.2,65512,0.022,0.074,0.234,0.392,1,0.278,21718,0.048,45177,0.031,44586,1898900,37605,
Nicasio CDP,16000US0651280,California,Marin,3379839,71,54.4,233750,25,3,3,4,0,0,1,14,71,71,0,0,0,0,0,0,0,71,2,14,7,2,3,13,0,2,0,2,0,1,5,6,6,8,49.9,53,0,0.075,0.075,0.547,1,0.302,18,0.167,34,0,34,2000001,25,
Nice CDP,16000US0651294,California,Lake,4466600,2527,1465.3,48288,1089,336,253,275,139,70,6,10,2527,1972,101,0,4,0,85,90,275,2527,96,207,91,57,224,169,259,172,153,135,113,169,143,152,224,163,47,1846,0.063,0.34,0.498,0.054,0,0.045,512,0.15,972,0.024,1697,140100,1089,
Nicolaus CDP,16000US0651336,California,Sutter,8126870,148,47.2,85875,77,13,16,6,14,20,3,5,148,104,0,0,0,0,0,0,44,148,8,13,7,6,6,11,16,8,0,0,22,9,4,12,5,21,46.8,118,0.161,0.212,0.441,0.093,0,0.093,30,0.067,84,0.071,77,525000,77,
Niland CDP,16000US0651392,California,Imperial,1040220,631,1571.1,21330,198,121,52,25,0,0,0,0,631,240,36,0,0,0,0,30,325,631,90,36,65,32,0,37,19,0,100,107,0,36,21,20,38,30,16.3,262,0.527,0.263,0.21,0,0,0,143,0.524,241,0.207,315,82900,198,
Nipinnawasee CDP,16000US0651470,California,Madera,7990118,349,113.1,70583,113,16,37,15,34,11,0,0,349,344,0,0,0,0,0,0,5,349,21,48,41,19,9,0,35,28,16,21,15,0,18,22,16,40,36.7,219,0.233,0.47,0.274,0.023,0,0,109,0.156,91,0,131,181900,113,
Nipomo CDP,16000US0651476,California,San Luis Obispo,38467934,17601,1185,82543,5561,578,788,1095,791,1205,590,514,17601,8642,192,13,497,52,0,367,7838,17601,690,1241,1197,1090,1000,1369,1182,875,993,1373,1176,1108,1169,1127,1039,972,39.6,11989,0.177,0.208,0.37,0.161,0,0.084,4581,0.079,8666,0.054,5958,537700,5561,
Norco city,16000US0651560,California,Riverside,35825248,26670,1928.1,102817,7119,740,871,973,855,1633,1037,1010,26670,14823,1188,51,1154,39,21,606,8788,26670,1298,1608,1484,1397,1699,2117,1411,1328,1092,1729,2220,2004,2359,2437,1300,1187,41.2,19159,0.133,0.298,0.369,0.126,0,0.074,5420,0.041,12362,0.037,7472,544900,7119,
Nord CDP,16000US0651574,California,Butte,5452534,312,148.2,70972,92,0,0,79,3,10,0,0,312,256,0,0,0,5,0,8,43,312,0,0,24,54,0,12,0,25,131,17,4,0,0,35,10,0,25.5,164,0.061,0.421,0.494,0.024,0,0,92,0,104,0.029,92,-1,92,
Norris Canyon CDP,16000US0651622,California,Contra Costa,9575708,897,242.6,250001,285,0,0,0,0,13,64,208,897,147,0,0,580,0,0,45,125,897,49,122,28,10,161,43,76,38,25,133,0,11,110,69,13,9,44,552,0.051,0,0.103,0.339,1,0.507,215,0,451,0.098,295,2000001,285,
North Auburn CDP,16000US0651637,California,Placer,20171679,14269,1832.1,60308,5426,1085,1242,749,801,882,314,353,14269,10796,66,49,392,9,15,553,2389,14269,948,774,849,764,707,762,1036,1550,734,819,688,1115,691,859,1076,897,41.8,10337,0.102,0.265,0.393,0.164,0,0.077,3146,0.113,5973,0.023,5970,356200,5426,
North Edwards CDP,16000US0651812,California,Kern,33012003,880,69,35417,420,127,102,93,43,39,0,16,880,549,50,0,37,0,0,24,220,880,27,28,32,10,80,42,135,37,9,76,81,19,89,62,102,51,48.6,681,0.115,0.391,0.401,0.057,0,0.037,227,0.256,429,0.168,629,74500,420,
North El Monte CDP,16000US0651820,California,Los Angeles,1096396,3933,9290.8,63875,1286,197,238,276,108,264,68,135,3933,988,42,4,1715,0,0,126,1058,3933,204,318,137,198,287,278,298,249,266,222,333,254,304,202,190,193,40.7,2799,0.085,0.228,0.367,0.217,0,0.104,903,0.095,1823,0.025,1348,633400,1286,
North Fair Oaks CDP,16000US0651840,California,San Mateo,3103254,14372,11994.9,77899,4183,712,746,616,328,726,334,721,14372,2542,174,9,821,0,51,225,10550,14372,1149,1205,1050,1201,823,805,566,402,1194,989,854,1274,975,1000,590,295,33.1,9141,0.331,0.208,0.198,0.141,0,0.123,3042,0.137,7589,0.031,4400,941600,4183,
North Gate CDP,16000US0651890,California,Contra Costa,1703716,685,1041.3,231053,242,16,0,32,12,38,15,129,685,428,0,0,77,0,0,22,158,685,27,0,33,17,41,100,6,49,101,19,52,0,40,125,21,54,50.3,488,0.037,0.105,0.115,0.273,1,0.471,228,0.07,319,0.166,242,1180600,242,
North Highlands CDP,16000US0651924,California,Sacramento,22821706,47661,5408.9,45488,15335,3752,4602,2768,1882,1609,467,255,47661,22833,5935,342,3198,64,0,2802,12487,47661,3741,2938,4411,3725,2668,2611,2546,2357,3854,3658,3784,3354,2435,2311,1895,1373,31.6,29405,0.157,0.346,0.362,0.102,0,0.033,10891,0.215,21489,0.051,15998,217500,15335,
